"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Faculty",15,20,"Man","Social sciences","Weekly","Yes","Python,R,Stata","Always","Sometimes","Sometimes","Version control,Code testing,Code review","Always","About half the time",NA,"Always","Always","Never",NA,"ChatGPT,A custom tool provided by organization,Google Gemini,Claude,Perplexity","Always","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",23,28,"Man","Life sciences","Weekly","Yes","Python,C,C++,MATLAB,Java,Bash","Always","About half the time","Always","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Most of the time","Most of the time","Most of the time","A peer in your research group","GitHub Copilot,Google Gemini,Claude Code","Sometimes","Claude Code","Other (please write in)","I don't use genAI to produce code suggestions directly","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",4,2,"Woman","Social sciences","Daily","Yes","Python,R,JavaScript","Sometimes","Most of the time","Sometimes","Version control,Code testing","Most of the time",NA,NA,"Never","Never","Never",NA,"ChatGPT,A custom tool provided by organization","Always","ChatGPT","Through a web browser,With a mobile app,With a desktop app","10-50 lines","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",20,NA,"Man","Life sciences","Weekly","Yes","Python,MATLAB,Other","Sometimes","Most of the time","About half the time","Version control,Code testing","Most of the time",NA,NA,"Most of the time","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",10,15,"Woman","Geosciences, atmospheric sciences & ocean sciences","Daily","Yes","Python,MATLAB,FORTRAN","Always","Most of the time","Sometimes","Version control","About half the time",NA,NA,NA,NA,NA,"A collaborator outside the research group","ChatGPT,GitHub Copilot,Google Gemini","About half the time","GitHub Copilot","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",10,12,"Man","Social sciences","Daily","Yes","R","Sometimes","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Never","Never","Never","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",38,30,"Woman","Social sciences","Weekly","Yes","Python,R","Sometimes","Always","About half the time","Code review",NA,"Most of the time",NA,NA,NA,NA,"A collaborator outside the research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",10,5,"Man","Life sciences","Daily","Yes","Python,R,Stata","Never","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Sometimes","Sometimes","Sometimes","Never","Never","Never","A peer in your research group","ChatGPT,Google Gemini","Most of the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",5,5,"Man","Life sciences","Daily","Yes","Python,R,MATLAB,Bash","Most of the time","Most of the time","Sometimes","Version control,Code testing","Always",NA,NA,"Most of the time","Never","Never",NA,"ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"Higher education","United States of America","Research staff",3,15,"Man","Mathematics and statistics","Daily","I'm not sure","Python,R","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Sometimes","Most of the time","Never","Sometimes","Sometimes","Sometimes","A supervisor","ChatGPT,GitHub Copilot,Google Gemini,Claude,Perplexity","Always","ChatGPT","With a desktop app","1-5 lines","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,4,"Man","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","Python,R","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Sometimes","Sometimes","Never","Never","A peer in your research group","ChatGPT,A custom tool provided by organization","About half the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",6,6,"Woman","Psychology","Weekly","Yes","Python,R,MATLAB,JavaScript","Most of the time","Sometimes","Sometimes","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Google Gemini","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",30,15,NA,"Social sciences","Monthly","Yes","Other","Sometimes","Sometimes","Never","Version control,Code testing,Code review","Always","Sometimes",NA,"Always","Sometimes","Always","A peer in your research group","ChatGPT","Most of the time",NA,"Through a web browser","10-50 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Faculty",28,28,"Woman","Physical sciences","Daily","Yes","Python,MATLAB","Never","Sometimes","Sometimes","Version control","Never",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",6,3,"Man","Engineering","Daily","Yes","Python,MATLAB,Other","About half the time","About half the time","About half the time","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",12,12,"Woman","Other","Daily","Yes","Python,R,MATLAB,Bash","Most of the time","Most of the time","Most of the time","Version control,Code review,Continuous integration","Most of the time","Most of the time","Sometimes",NA,NA,NA,"A supervisor","ChatGPT,Google Gemini","Sometimes","Google Gemini","Through a web browser","1-5 lines","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",5,8,"Woman","Other","Daily","Yes","Python,R,MATLAB,JavaScript,Java","Sometimes","Sometimes","Sometimes","Version control,Code testing","Sometimes",NA,NA,"Never","Never","About half the time",NA,"ChatGPT,GitHub Copilot,Google Gemini,Perplexity","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree"
"Private sector",NA,"Research staff",1,5,"Woman","Life sciences","Less than once a month","Yes","MATLAB,Java","About half the time","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Google Gemini,Microsoft Copilot","About half the time","Google Gemini","Through a web browser,With a mobile app","5-10 lines","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",2,4,"Non-binary / gender-diverse","Psychology","Weekly","Yes","Python,R",NA,"About half the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"GitHub Copilot,Other (please write in)","Most of the time","Other (please write in)","Through a web browser","10-50 lines","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",6,5,"Woman","Life sciences","Monthly","Yes","Python,R,Bash","Always","About half the time","Never","Version control","Sometimes",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",35,2,"Man","Life sciences","Less than once a month","Yes","MATLAB","About half the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",9,8,"Woman","Computer and information services","Daily","Yes","Python,Bash","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Sometimes",NA,"Sometimes","Someone else (please write in)","ChatGPT,GitHub Copilot,Google Gemini,Cursor","Always","GitHub Copilot","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",20,0,"Man","Life sciences","Less than once a month","Yes","FORTRAN","Sometimes","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",7,5,"Woman","Physical sciences","Monthly","Yes","Python,Other","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",10,10,"Man","Social sciences","Daily","Yes","Stata","Sometimes","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Sometimes","Most of the time","Sometimes","Sometimes","Sometimes","Sometimes","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",20,35,"Man","Social sciences","Weekly","Yes","R,Other","Sometimes","About half the time","About half the time","Version control,Code testing,Code review","Always","Always",NA,"Always","About half the time","Always","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Research staff",5,10,"Woman","Life sciences","Daily","Yes","Python,R,Stata","Most of the time","Always","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Sometimes","Sometimes","Sometimes","Someone else (please write in)","GitHub Copilot,Google Gemini","Sometimes","GitHub Copilot","Through a web browser","<1 line","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree"
"Higher education","United States of America","Research staff",6,8,"Man","Social sciences","Daily","Yes","R,Stata","Sometimes","About half the time","Never","Version control,Code testing,Code review","Most of the time","About half the time",NA,"Sometimes","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",6,2,"Man","Physical sciences","Monthly","Yes","Python,R,MATLAB","Always","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",10,15,"Man","Life sciences","Daily","Yes","Python,R,C++,Bash","Always","Sometimes","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Sometimes","Never","Never","A peer in your research group","Google Gemini","Sometimes","Google Gemini","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,3,"Man","Engineering","Daily","Yes","Python,MATLAB","Never","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,GitHub Copilot,Claude Code,Perplexity","About half the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",3,4,"Man","Other","Daily","Yes","R","Never","Sometimes","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"Never","About half the time","Never","A peer in your research group","ChatGPT,Other (please write in)","About half the time","Other (please write in)","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",25,2,"Man","Life sciences","Less than once a month","Yes","R","Most of the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","<1 line","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",15,10,"Man","Engineering","Daily","Yes","Python","Sometimes","Sometimes","Never","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,Google Gemini","Most of the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,4,"Woman","Engineering","Daily","Yes","Python,C++,MATLAB,Julia,Java","Sometimes","Sometimes","Never","Version control,Code testing,Code review","Most of the time","Most of the time",NA,"Most of the time","Never","Never","A peer in your research group","ChatGPT,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,2,"Man","Engineering","Daily","Yes","Python,Bash","Never","Sometimes","Never","Version control,Code testing","Sometimes",NA,NA,"Sometimes","Never","Never",NA,"ChatGPT,Other (please write in)","Sometimes","Other (please write in)","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",8,10,"Man","Engineering","Daily","Yes","Python,MATLAB","Never","About half the time","Sometimes","Version control,Code testing","Most of the time",NA,NA,"Always","Always","Always",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",1,4,"Man","Engineering","Daily","I'm not sure","C++,MATLAB,Bash","Sometimes","Sometimes","Never","Version control","Never",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",15,0,"Woman","Social sciences","Daily","Yes","Other","Never","Never","Never","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Sometimes","Always","Sometimes","Sometimes","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",3.5,15,"Man","Life sciences","Monthly","Yes","Python,C++,MATLAB","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","10-50 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Other (self-describe)","United States of America","Student research assistant",1,6,"Woman","Computer and information services","Daily","Yes","Python,JavaScript,Java,Other","About half the time","Always","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Always","About half the time","Most of the time","About half the time","About half the time","A peer in your research group","ChatGPT,GitHub Copilot,Claude,Perplexity,Microsoft Copilot","About half the time","Claude","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",20,3,"Woman","Other","Weekly","Yes","Python,R,Bash","Always","Most of the time","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Sometimes","Sometimes","About half the time","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",0.5,3,"Woman","Engineering","Monthly","Yes","Python,C++","Sometimes","Sometimes","Never","Code testing,Code review",NA,"About half the time",NA,"Sometimes","About half the time","Sometimes",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",1,1,"Woman","Humanities","Monthly","Yes","R","Sometimes","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini","Always","Google Gemini","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",25,1,"Woman","Life sciences","Less than once a month","Yes","MATLAB","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,6,"Man","Engineering","Daily","Yes","Python,MATLAB","Sometimes","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Never","Sometimes","Sometimes","Sometimes",NA,"ChatGPT,Google Gemini","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Post-doctoral researcher",10,5,"Man","Life sciences","Monthly","Yes","R,MATLAB","Most of the time","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1,5,"Man","Mathematics and statistics","Weekly","Yes","Python,R,MATLAB,JavaScript,Bash","Most of the time","Most of the time","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","About half the time","Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,A custom tool provided by organization,Google Gemini,Claude,Claude Code","Always","ChatGPT","Through a web browser","50-100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",10,3,"Woman","Life sciences","Monthly","Yes","Python,R,JavaScript","Always","Most of the time","Sometimes","Version control,Code testing,Code review","Always","Most of the time",NA,"Always","About half the time","Never","A peer in your research group","ChatGPT,GitHub Copilot,Google Gemini,Claude Code,Perplexity","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Faculty",18,10,"Woman","Life sciences","Weekly","Yes","R,MATLAB","Always","Most of the time","Sometimes","Version control,Code testing,Code review","Never","Sometimes",NA,"Never","Never","Most of the time","Someone else (please write in)","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",1,1,"Woman","Other","Daily","Yes","R",NA,"Most of the time","Sometimes","Code testing,Code review,Continuous integration",NA,"Always",NA,NA,"Most of the time",NA,"A supervisor","ChatGPT,Perplexity","Sometimes","ChatGPT","Through a web browser","<1 line","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree"
"Higher education","United States of America","Research staff",2,1,"Woman","Other","Less than once a month","Yes","Python,R,Bash","Always","Most of the time","Sometimes","Code testing,Continuous integration",NA,NA,"Sometimes","Never","Never","Sometimes",NA,"ChatGPT,GitHub Copilot,Microsoft Copilot","Most of the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",6,6,"Man","Life sciences","Monthly","Yes","R","Sometimes","Never","Never","Code testing",NA,NA,NA,"Always","Always","Always",NA,"Google Gemini","Sometimes","Google Gemini","Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,4,"Woman","Business management & administration","Daily","Yes","R","Always","About half the time","Sometimes","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",20,8,"Man","Life sciences","Daily","Yes","Python,R","Sometimes","Sometimes","Sometimes","Version control","Always",NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Claude","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",12,2,"Man","Life sciences","Less than once a month","Yes","Python,R","Sometimes","Sometimes","Never","Code testing,Code review",NA,"Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT","Always","ChatGPT","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Other (self-describe)",3,2,"Woman","Life sciences","Monthly","Yes","R,Bash","Sometimes","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",6,6,"Woman","Computer and information services","Daily","Yes","Python,R,C++,MATLAB,JavaScript,Java","Most of the time","About half the time","Sometimes","Version control,Code testing,Code review","Always","Most of the time",NA,"Most of the time","Most of the time","Most of the time","A supervisor","ChatGPT,GitHub Copilot,Perplexity","Sometimes","Perplexity","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.),With a desktop app","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",3,8,"Woman","Engineering","Daily","Yes","Python","Always","Always","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Always",NA,"Never","Never","Never","A supervisor","ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",7,5,"Woman","Life sciences","Monthly","Yes","R","Most of the time","Most of the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",22,1,"Man","Life sciences","Less than once a month","Yes","Python,R","Sometimes","Never","Sometimes","Continuous integration",NA,NA,"Sometimes",NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",7,9,"Woman","Life sciences","Weekly","Yes","R,Other","Always","Always","Sometimes","Version control,Code testing,Code review","Always","Always",NA,NA,"Always",NA,"A collaborator outside the research group","ChatGPT","Sometimes","ChatGPT","Through a web browser,Other (please write in)","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",9,5,"Woman","Life sciences","Daily","Yes","Python,R,Bash","Most of the time","Most of the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes",NA,"Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
